Id,AvgTotalHoursAsleep,AvgTotalHoursInBed,AvgHoursAwakeInBed,AvgMinutesAwakeInBed
7007744171,1.14,1.2,0.05,3.00
8053475328,4.95,5.03,0.08,4.67
2320127002,1.02,1.15,0.13,8.00
4558609924,2.13,2.33,0.2,12.40
7086361926,7.55,7.77,0.22,13.29
6962181067,7.47,7.77,0.3,18.13
8792009665,7.26,7.56,0.3,18.13
6775888955,5.83,6.15,0.32,19.33
4702921684,6.96,7.3,0.34,20.74
1927972279,6.95,7.3,0.35,20.80
1503960366,6.01,6.39,0.38,22.92
4388161847,6.67,7.05,0.38,23.04
4319703577,7.94,8.37,0.42,25.31
5577150313,7.2,7.68,0.48,28.62
4020332650,5.82,6.33,0.5,30.38
2026352035,8.44,8.96,0.52,31.46
6117666160,7.98,8.5,0.52,31.39
4445114986,6.42,6.95,0.53,31.64
8378563200,7.42,8.1,0.68,40.81
5553957443,7.73,8.43,0.7,42.39
2347167796,7.45,8.19,0.74,44.53
1644430081,4.9,5.77,0.87,52.00
3977333714,4.89,7.69,2.79,167.50
1844505072,10.86,16.02,5.16,309.00
